molecules,label
CCC=CCC,66.8333333333333
CCOc1ccccc1N,232.5
CC(C)CC(O)CC(C)C,174.5
Cc1c(N)cccc1Cl,245.0
Cc1cccc(N(C)C)c1,212.0
O=c1cccc[nH]1,280.0
Cc1ccc2c(c1)CC(C)CC2,237.0
Cc1ccc2c(c1)CCCC2(C)C,240.0
O=Cc1ccccc1O,197.0
FC1(F)C(F)(F)C(F)(F)C1(F)F,-5.9
CC(I)I,179.5
CN1C2CCC1CC(=O)C2,227.0
Cc1cccc(C)c1,139.1
c1ccc(Cc2ccccn2)cc1,277.0
CC(O)(CCl)CCl,174.5
CCNCCN,129.0
O=C1C=Cc2c(c(O)c3ccccc3c2O)C1=O,430.0
BrCC(CBr)(CBr)CBr,305.5
c1ccc2c(c1)Nc1ccccc1S2,371.0
O=[N+]([O-])c1cccc(I)c1,280.0
C=CC=CC,42.6999999999999
C=C(C)CCC(=C)C,114.3
COC(=O)CCCC(=O)OC,214.0
CC(C(C)(C)C)C(C)(C)C,159.3
O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O,480.0
CC(Cl)CCl,95.5
Clc1cc(Cl)c(C(Cl)Cl)cc1Cl,280.5
CCc1cccc([N+](=O)[O-])c1,242.5
CC(C)=CC(=O)C=C(C)C,197.5
Cc1ccnc(C)n1,150.5
CCc1ccc(Cc2ccccc2)cc1,297.0
CCCCCCCCCCl,203.5
Cc1cc(Cl)n(C)n1,157.5
CCCCOCC(C)O,171.5
COC1CC1,44.7
CCC(C)C(C)C(C)(C)C,157.0
CC(C)(O)c1ccccc1,202.0
C1=CCc2ccccc2C1,211.5
CCCCCCOC(=O)c1ccccc1,272.0
Cc1cccc(C)c1I,229.5
c1ccc(-c2c3ccccc3nc3ccccc23)cc1,404.0
CCC(CC)C(C)(C)C,133.8
FC(F)(Cl)C(F)(Cl)C(F)(F)Cl,73.7
O=C(O)C(Cl)CCl,210.0
CCC(CC)CCl,126.0
FC(F)(F)C(F)(F)F,-78.1
CN1CSCSC1,185.0
COC(=O)c1ccccc1I,280.0
CC12CCC(CC1)C(C)(C)O2,176.4
NC(=O)Nc1ccc(Br)cc1,260.0
O=C1CCC(c2ccccc2)O1,306.0
Brc1cc(Br)cc(Br)c1,271.0
C[C@H](O)CCc1ccccc1,239.0
COc1c(Cl)cc(Cl)cc1Cl,241.0
CCC(O)c1ccccc1,219.0
O=[N+]([O-])CCO,194.0
O=C(c1ccccc1)c1ccccc1,305.4
C=C(Cl)C(C)Cl,112.0
C/C=C/CCCCCCCC,194.3
CCCC[N+](=O)[O-],153.0
O=C(O)C(Cl)Br,215.0
CCC(C)(O)C(C)C,139.7
CN(C)CCN,105.0
CC(C)C(Br)C(=O)O,230.0
CC(=O)CCC(=O)OC(C)C,209.3
Sc1ccccc1Cl,205.5
NCCNCCNCCNCCN,341.5
C=C(C)C1CC1,70.0
COc1ccccc1OC,206.0
c1ccc(Nc2ccccn2)nc1,307.5
CCC(C)(CO)CO,225.8
Cc1cc(C)c([N+](=O)[O-])cc1C,265.0
FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F,63.0
COC(C)OC,64.5
Oc1ccc(O)[nH]1,288.0
CCCCCCC(O)CCCCC,225.0
CCCCCCS,151.0
O=C1C(=O)c2ccccc2-c2ccccc21,360.0
CC=C(C)C,38.5
CCC(C)=CCl,96.5
CC#CCCC,84.5
Cc1cccc(O)c1O,241.0
C/C=C(/C)C(C)C,89.9333333333333
